

2018-03-05 09:30:00 - INFO  - 600596.XSHG（新安股份）的排名为：92,分数为：38.0

2018-03-05 09:30:00 - INFO  - 601009.XSHG（南京银行）的排名为：93,分数为：38.0

2018-03-05 09:30:00 - INFO  - 000576.XSHE（广东甘化）的排名为：94,分数为：37.0

2018-03-05 09:30:00 - INFO  - 000825.XSHE（太钢不锈）的排名为：95,分数为：37.0

2018-03-05 09:30:00 - INFO  - 002320.XSHE（海峡股份）的排名为：96,分数为：37.0

2018-03-05 09:30:00 - INFO  - 002419.XSHE（天虹股份）的排名为：97,分数为：37.0

2018-03-05 09:30:00 - INFO  - 600486.XSHG（扬农化工）的排名为：98,分数为：37.0

2018-03-05 09:30:00 - INFO  - 600754.XSHG（锦江股份）的排名为：99,分数为：37.0

2018-03-05 09:30:00 - INFO  - 600859.XSHG（王府井）的排名为：100,分数为：37.0

2018-03-05 09:30:00 - INFO  - 601678.XSHG（滨化股份）的排名为：101,分数为：37.0

2018-03-05 09:30:00 - INFO  - 002410.XSHE（广联达）的排名为：102,分数为：36.0

2018-03-05 09:30:00 - INFO  - 002430.XSHE（杭氧股份）的排名为：103,分数为：36.0

2018-03-05 09:30:00 - INFO  - 002440.XSHE（闰土股份）的排名为：104,分数为：36.0

2018-03-05 09:30:00 - INFO  - 002507.XSHE（涪陵榨菜）的排名为：105,分数为：36.0

2018-03-05 09:30:00 - INFO  - 002727.XSHE（一心堂）的排名为：106,分数为：36.0

2018-03-05 09:30:00 - INFO  - 603338.XSHG（浙江鼎力）的排名为：107,分数为：36.0

2018-03-05 09:30:00 - INFO  - 000056.XSHE（皇庭国际）的排名为：108,分数为：35.0

2018-03-05 09:30:00 - INFO  - 002024.XSHE（苏宁易购）的排名为：109,分数为：35.0

2018-03-05 09:30:00 - INFO  - 002118.XSHE（紫鑫药业）的排名为：110,分数为：35.0

2018-03-05 09:30:00 - INFO  - 300124.XSHE（汇川技术）的排名为：111,分数为：35.0

2018-03-05 09:30:00 - INFO  - 300487.XSHE（蓝晓科技）的排名为：112,分数为：35.0

2018-03-05 09:30:00 - INFO  - 600352.XSHG（浙江龙盛）的排名为：113,分数为：35.0

2018-03-05 09:30:00 - INFO  - 603899.XSHG（晨光文具）的排名为：114,分数为：35.0

2018-03-05 09:30:00 - INFO  - 000525.XSHE（红太阳）的排名为：115,分数为：34.0

2018-03-05 09:30:00 - INFO  - 000636.XSHE（风华高科）的排名为：116,分数为：34.0

2018-03-05 09:30:00 - INFO  - 000735.XSHE（罗牛山）的排名为：117,分数为：34.0

2018-03-05 09:30:00 - INFO  - 000736.XSHE（中交地产）的排名为：118,分数为：34.0

2018-03-05 09:30:00 - INFO  - 000898.XSHE（鞍钢股份）的排名为：119,分数为：34.0

2018-03-05 09:30:00 - INFO  - 002382.XSHE（蓝帆医疗）的排名为：120,分数为：34.0

2018-03-05 09:30:00 - INFO  - 002511.XSHE（中顺洁柔）的排名为：121,分数为：34.0

2018-03-05 09:30:00 - INFO  - 300146.XSHE（汤臣倍健）的排名为：122,分数为：34.0

2018-03-05 09:30:00 - INFO  - 600018.XSHG（上港集团）的排名为：123,分数为：34.0

2018-03-05 09:30:00 - INFO  - 600195.XSHG（中牧股份）的排名为：124,分数为：34.0

2018-03-05 09:30:00 - INFO  - 600315.XSHG（上海家化）的排名为：125,分数为：34.0

